Name,Price,Type,CC,Brand,Description
Maruti Suzuki Swift,Rs.5.79 - 8.80 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,"""The Maruti Swift is a midsize hatchback in India which offers a good balance of features, performance, and fuel efficiency. It is available with Suzuki’s new 1.2-litre Z series 3- cylinder petrol engine in both 5-speed manual or 5-speed AMT transmission. The Swift is now also available in CNG offering a claimed fuel efficiency of 32.85 km/kg."""
Maruti Suzuki FRONX,Rs.6.85 - 11.98 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Ertiga,Rs.8.80 - 12.94 Lakh* (View On Road Price),Petrol/CNG,1462 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Dzire,Rs.6.26 - 9.31 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Baleno,Rs.5.99 - 9.10 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Brezza,Rs.8.26 - 13.01 Lakh* (View On Road Price),Petrol/CNG,1462 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Wagon R,Rs.4.99 - 6.95 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Alto K10,Rs.3.70 - 5.45 Lakh* (View On Road Price),Petrol/CNG,998 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Grand Vitara,Rs.10.77 - 19.72 Lakh* (View On Road Price),Petrol/CNG,1490 cc,maruti-suzuki-cars,"""The 2025 Maruti Grand Vitara is a compact SUV that is known for its elegant design and incredible fuel efficiency. An unique point is that it has an all-wheel drive option. The Grand Vitara’s design is clean and will stand the test of time well. Dual-tone colour options such as silver and blue make it stand out. Its interior is logically laid out and friendly to use with all the controls placed at the right places. The Grand Vitara is also fairly spacious and can seat 5 occupants in decent comfort. Top features include a 9-inch touchscreen infotainment, ventilated front seats, panoramic sunroof, a 7-inch digital driver’s display, heads-up display and powered driver’s seat. The Grand Vitara is offered with a choice of either a 1.5-litre strong-hybrid and petrol engines. The latter also gets the option of a CNG and all-wheel drive."""
Maruti Suzuki Victoris,Rs.10.50 - 19.99 Lakh* (View On Road Price),Petrol/CNG,1490 cc,maruti-suzuki-cars,"""The Maruti Victoris is a new compact SUV positioned between the Brezza and Grand Vitara, and will be the flagship model under Maruti’s Arena dealership. It is the first Maruti SUV to get Level-2 ADAS and has secured a 5-star Bharat NCAP safety rating. Engine options include a 1.5-litre mild-hybrid petrol, a strong-hybrid, and a CNG variant, offering both efficiency and choice. Price will be announced in October 2025."""
Maruti Suzuki S-Presso,Rs.3.50 - 5.25 Lakh* (View On Road Price),Petrol/CNG,998 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Celerio,Rs.4.70 - 6.73 Lakh* (View On Road Price),Petrol/CNG,998 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Ignis,Rs.5.35 - 7.55 Lakh* (View On Road Price),Petrol,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki XL6,Rs.11.52 - 14.48 Lakh* (View On Road Price),Petrol/CNG,1462 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Jimny,Rs.12.31 - 14.45 Lakh* (View On Road Price),Petrol,1462 cc,maruti-suzuki-cars,"""The Maruti Suzuki Jimny is a 5-door subcompact lifestyle SUV that stands out with its cute, retro, and boxy design. It seats four and offers a decent set of practical features, though not quite as many as its rivals. The performance is good enough for daily driving, and it comes with 4x4 as standard. The Jimny's highlight, though, is its excellent ride quality, especially on rough, pothole-filled roads."""
Maruti Suzuki Eeco,Rs.5.21 - 6.36 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Ciaz,Rs.9.09 - 11.89 Lakh* (View On Road Price),Petrol,1462 cc,maruti-suzuki-cars,"""The Maruti Ciaz is a compact sedan that is known for its affordability and comfort. It has a claimed mileage of up to 20.65 kmpl which also makes it a great choice for buyers seeking fuel efficiency. It offers good space for five passengers and makes for a practical, comfortable and value-for-money city car."""
Maruti Suzuki Invicto,Rs.24.97 - 28.61 Lakh* (View On Road Price),Petrol,1987 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Dzire Tour S,Rs.6.24 - 7.10 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Ertiga Tour,Rs.9.68 - 10.59 Lakh* (View On Road Price),Petrol/CNG,1462 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Alto Tour H1,Rs.4 - 4.82 Lakh* (View On Road Price),Petrol/CNG,998 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Eeco Cargo,Rs.5.39 - 6.61 Lakh* (View On Road Price),Petrol/CNG,1197 cc,maruti-suzuki-cars,N/A
Maruti Suzuki Wagon R tour,Rs.4.99 - 5.89 Lakh* (View On Road Price),Petrol/CNG,998 cc,maruti-suzuki-cars,N/A
Tata Nexon,Rs.7.32 - 14.05 Lakh* (View On Road Price),Diesel/Petrol/CNG,1497 cc,Tata,"""The Tata Nexon is amongst the best-selling sub-compact SUVs in the country. It is popular for its solid safety, with a full five star safety rating from Bharat NCAP and Global NCAP. Tata Motors updated the looks of the Nexon with a new front and rear design. Sleek LED lighting elements with animations, 16-inch dual tone alloy wheels and interesting colour options make the Nexon visually appealing. The interior of the Nexon 2025 features a brand new dashboard design with improved quality. Rear seat space is a strong point, which is more than adequate for your family. Highlight features of the Nexon 2025 include 10.25-inch touchscreen, 10.25-inch driver’s display, JBL sound system, voice-operated panoramic sunroof, and 360° camera. The Nexon is available with a choice of 1.2-litre turbo-petrol, 1.2-litre turbo-petrol CNG and 1.5-litre diesel engines. The turbo-petrol is offered with a 5- and 6-speed manual, 6-speed AMT and a 7-speed DCT. The diesel is offered with a 6-speed manual and 6-speed AMT."""
Tata Punch,Rs.5.50 - 9.30 Lakh* (View On Road Price),Petrol/CNG,1199 cc,Tata,"""The Tata Punch 2025 is the most affordable SUV from Tata Motors. It is among the safest small cars in the country, with a 5-star safety rating from Global NCAP. It features a mini-SUV design language and has highlights such as projector headlamps, daytime running lamps, and LED tail lamps. The interior is built-well and has a simple and likeable design. It is a surprisingly spacious car for four adults. In the Punch 2025, features such as a 10.25-inch touchscreen, voice-operated sunroof, automatic climate control, rear AC vents, and cruise control are on offer. It is powered by a 1.2-litre petrol engine which is available with a manual and an automated manual transmission (AMT). CNG is available as an option too."""
Tata Tiago,Rs.4.57 - 7.82 Lakh* (View On Road Price),Petrol/CNG,1199 cc,Tata,"""The Tata Tiago 2025 is the most affordable Tata car on sale. It is known for its robust build quality and safety. Despite being almost 10 years old, Tata Motors has kept the Tiago fresh with continuous design updates. Full-LED headlamps, 15-inch dual tone alloy wheels, and a shark fin antenna are some highlights. In the Tiago 2025, Tata Motors offers a black-grey dual-tone theme which looks upmarket. It has ample space for a small family of four. Features on the top-spec Tiago include keyless entry, push-button start/stop, cruise control, automatic climate control, a reverse camera and a new 10.25-inch touchscreen. A 1.2-litre, three-cylinder engine is the only option — available in petrol and petrol + CNG versions. Tata motors offers a 5-speed manual and 5-speed automated manual transmission (AMT) in the Tiago."""
Tata Harrier,Rs.14 - 25.25 Lakh* (View On Road Price),Diesel,1956 cc,Tata,"""The Tata Harrier 2025 is the carmaker’s midsize SUV that has a striking design, solid build quality and a lengthy feature list. The updated design is thoroughly modern with striking colour options and premium LED lighting elements. Inside, the Harrier gets a premium dashboard design with a four-spoke steering wheel with an illuminated Tata logo and variant-specific colour themes. Top features include a 12.3-inch touchscreen infotainment system, powered front seats with ventilation, panoramic sunroof, powered tailgate and a gesture-controlled powered tailgate. The Tata Harrier 2025 is offered with a single 170 PS 2-litre diesel engine, teamed with either a 6-speed manual or a 6-speed torque converter automatic transmission."""
Tata Altroz,Rs.6.30 - 10.51 Lakh* (View On Road Price),Diesel/Petrol/CNG,1497 cc,Tata,"""A striking design, upmarket cabin and some segment-exclusive features define the 2025 Tata Altroz facelift. It also remains the only model in its segment to offer an expansive list of engine options, including petrol, diesel and CNG."""
Tata Curvv,Rs.9.66 - 18.85 Lakh* (View On Road Price),Diesel/Petrol,1497 cc,Tata,"""The Tata Curvv 2025 is an SUV-coupe that is based on the Tata Nexon. It sits on the popular compact SUV segment, but sets itself apart with a different design. Since it has an SUV-coupe design, the 2025 Tata Curvv looks unique with its sloping roofline and boasts a striking design. The interior design is shared with the Tata Nexon, which isn’t a bad thing. It has also been updated with a new four-spoke steering wheel and different variant-specific colour themes. Top features onboard the 2025 Tata Curvv include a 10.25-inch digital driver’s display, a 12.3-inch touchscreen, panoramic sunroof, multi-colour ambient lighting, ventilated front seats and level-2 ADAS. The Tata Curvv 2025 is offered with three engine options: a 120 PS 1.2-litre turbo-petrol, a 118 PS 1.5-litre diesel and a 125 PS 1.2-litre T-GDI turbo-petrol engine. All three engines can be had with either a 6-speed manual or a 7-speed DCT."""
Tata Safari,Rs.14.66 - 25.96 Lakh* (View On Road Price),Diesel,1956 cc,Tata,"""The 2025 Tata Safari is a seven-seater SUV known for it’s style, comfortable ride, premium features and a 5-star safety rating from both Global and Bharat NCAP. The Tata Safari facelift gets a striking and well executed exterior design with modern lighting elements and tasteful colour options. It can be had either as a 6-seater with captain seats or a 7-seater with bench seats for middle row occupants. Top features include ventilated first and second row seats (6-seater version), a 12.3-inch touchscreen infotainment, dual-zone climate control and a panoramic sunroof. Tata Safari 2025 is powered by a 170 PS 2-litre diesel engine. It is available with either a 6-speed manual transmission or a 6-speed torque converter automatic transmission."""
