Name,Price,FuelType,Image,Brand
Octavia RS,45 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Octavia-RS/9524/1759918113411/front-left-side-47.jpg,Skoda
Venue 2025,8 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Venue-2025/12694/1753361669923/front-left-side-47.jpg,Hyundai
Sierra,15 - 25 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Sierra/12271/1737096272313/front-left-side-47.jpg,Tata
iX 2025,1.45 Cr,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/iX-2025/12390/1738226770090/front-left-side-47.jpg,BMW
Harrier,14 - 25.25 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Harrier/9368/1755844894060/front-left-side-47.jpg,Tata
Safari,14.66 - 25.96 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Safari/12798/1755865650056/front-left-side-47.jpg,Tata
Brezza 2025,8.50 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Brezza-2025/12258/1753361156120/front-left-side-47.jpg,Maruti
Grand Vitara 3-row,14 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Grand-Vitara-3-row/12259/1753361733185/front-left-side-47.jpg,Maruti
Tayron,50 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Tayron/12605/1747977771302/front-left-side-47.jpg,Volkswagen
Tucson 2025,30 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Tucson-2024/11345/1700549632955/front-left-side-47.jpg,Hyundai
Majestor,46 Lakh,Diesel,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/Majestor/12370/1737206408710/front-left-side-47.jpg,MG
Sierra EV,15 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Sierra-EV/7515/1760529519168/front-left-side-47.jpg,Tata
XUV700 Facelift,15 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XUV700-Facelift/12666/1753361991751/front-left-side-47.jpg,Mahindra
e Vitara,17 - 22.50 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/e-Vitara/9539/1747657528991/front-left-side-47.jpg,Maruti
Superb 2025,50 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Superb-2024/11648/1712204642647/front-left-side-47.jpg,Skoda
A5,50 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/A5/11864/1721137944455/front-left-side-47.jpg,Audi
Q6 e-tron,1 Cr,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q6-e-tron/11608/1710995400792/front-left-side-47.jpg,Audi
CLA Electric,65 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/CLA-Electric/12515/1744971805897/front-left-side-47.jpg,Mercedes-Benz
4 EV,30 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/4-EV/9523/1672834026501/front-left-side-47.jpg,MG
Punch 2025,6 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Punch-2025/11386/1753361528595/front-left-side-47.jpg,Tata
C10,45 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Leapmotor/C10/12568/1747114739382/front-left-side-47.jpg,Leapmotor
T03,8 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Leapmotor/T03/12569/1747114827452/front-left-side-47.jpg,Leapmotor
BE 07,29 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra-BE/07/9264/1660650027579/front-left-side-47.jpg,Mahindra
XEV 4e,13 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XEV-4e/12263/1753361934153/front-left-side-47.jpg,Mahindra
WagonR Electric,8.50 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/360x240/Maruti/Maruti-WagonR-Electric/047.jpg,Maruti
Model 3,60 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tesla/Model-3/5251/1752499542036/front-left-side-47.jpg,Tesla
3-Row SUV,14 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/3-Row-SUV/12265/1753361401421/front-left-side-47.jpg,Toyota
Tera,8 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Tera/12440/1741091762326/front-left-side-47.jpg,Volkswagen
Global Pik Up,25 Lakh,Diesel,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Global-Pik-Up/11038/1692107927073/front-left-side-47.jpg,Mahindra
XEV 7e,35 - 40 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra-XUV/e8/9266/Mahindra-XUV-e8-/1660650994176/front-left-side-47.jpg,Mahindra
Baleno 2026,6.80 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Baleno-2026/12257/1753424696602/front-left-side-47.jpg,Maruti
Elroq,50 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Elroq/12269/1737204530197/front-left-side-47.jpg,Skoda
Urban Cruiser,18 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Urban-Cruiser/12237/1735368926257/front-left-side-47.jpg,Toyota
Syros EV,14 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/Syros-EV/12378/1753362078961/front-left-side-47.jpg,Kia
VF3,10 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/VinFast/VF3/12338/1737019948478/front-left-side-47.jpg,VinFast
Compact MPV,6.20 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Compact-MPV/9673/1743050666230/front-left-side-47.jpg,Nissan
IONIQ 6,65 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/IONIQ-6/9525/1672835657964/front-left-side-47.jpg,Hyundai
Seltos 2026,11.30 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/Seltos-2026/12770/1752756440018/front-left-side-47.jpg,Kia
A6 2026,70 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/A6-2026/12513/1744805231934/front-left-side-47.jpg,Audi
Palisade,40 Lakh,Diesel,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Palisade/6721/1544618814589/front-left-side-47.jpg,Hyundai
